id,Predicted
test_0_val_error,0.5478880960189777
test_0_train_error,0.8425849302402963
test_1_val_error,0.378869163676784
test_1_train_error,0.3422318294302014
test_2_val_error,0.4688613620941684
test_2_train_error,0.5937986260869328
test_3_val_error,0.6391299805101281
test_3_train_error,0.8144968376820642
test_4_val_error,0.5608278506144185
test_4_train_error,0.835859533804387
test_5_val_error,0.5177824611709659
test_5_train_error,0.5448542696274573
test_6_val_error,0.6836327271960946
test_6_train_error,0.8780321163461933
test_7_val_error,0.4227076891073127
test_7_train_error,0.3530274683745575
test_8_val_error,0.6386209261323801
test_8_train_error,0.8132125296153594
test_9_val_error,0.2941923302278484
test_9_train_error,0.20006222726702688
test_10_val_error,0.4362629107557
test_10_train_error,0.40640949103984136
test_11_val_error,0.37552150201366835
test_11_train_error,0.3311680644348351
test_12_val_error,0.3634385222386865
test_12_train_error,0.01238828337219165
test_13_val_error,0.4501251622142025
test_13_train_error,0.6166555627795605
test_14_val_error,0.44092552135456636
test_14_train_error,0.13594277043019287
test_15_val_error,0.5034342296307405
test_15_train_error,0.4617179295424797
test_16_val_error,0.445840005973949
test_16_train_error,0.2225818274665219
test_17_val_error,0.4167771858047376
test_17_train_error,0.4182399921983897
test_18_val_error,0.3883993380460096
test_18_train_error,0.17322389049257148
test_19_val_error,0.4373033607935549
test_19_train_error,0.13531347729178683
test_20_val_error,0.3911516217779789
test_20_train_error,0.011600370168855813
test_21_val_error,0.3868344054338872
test_21_train_error,0.4557307903462622
test_22_val_error,0.5632593724713436
test_22_train_error,0.7519047860769762
test_23_val_error,0.32179997747931616
test_23_train_error,0.06635921223535113
test_24_val_error,0.49906528050013443
test_24_train_error,0.6405423791200612
test_25_val_error,0.42920471781495784
test_25_train_error,0.5508097382005375
test_26_val_error,0.6204206910500464
test_26_train_error,0.7988844292419338
test_27_val_error,0.3420230309993165
test_27_train_error,0.003399597485979667
test_28_val_error,0.4418256517024862
test_28_train_error,0.05742931145962766
test_29_val_error,0.3571943851195382
test_29_train_error,0.3271256704556029
test_30_val_error,0.6686788739400028
test_30_train_error,0.8555484961347728
test_31_val_error,0.36065710857959304
test_31_train_error,0.24480539825593642
test_32_val_error,0.6549917294445232
test_32_train_error,0.7559177953601529
test_33_val_error,0.45806551616551383
test_33_train_error,0.07305664708107378
test_34_val_error,0.4601526201452611
test_34_train_error,0.03608168900465392
test_35_val_error,0.5848726461907678
test_35_train_error,0.7316537771338775
test_36_val_error,0.5021565556519633
test_36_train_error,0.548528703523664
test_37_val_error,0.5961935205960969
test_37_train_error,0.7845060833660781
test_38_val_error,0.43547781144637865
test_38_train_error,0.5901030784085836
test_39_val_error,0.44702139369378957
test_39_train_error,0.15854298413692258
test_40_val_error,0.612183312475904
test_40_train_error,0.5856001179458683
test_41_val_error,0.6111500825171853
test_41_train_error,0.8199808015090607
test_42_val_error,0.6756394810380139
test_42_train_error,0.8587968690202608
